[0001/5000] n=1, T=0.0010 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0002/5000] n=1, T=0.0020 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0003/5000] n=1, T=0.0030 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0004/5000] n=1, T=0.0040 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0005/5000] n=1, T=0.0050 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0006/5000] n=1, T=0.0060 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0007/5000] n=1, T=0.0070 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0008/5000] n=1, T=0.0080 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0009/5000] n=1, T=0.0090 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0010/5000] n=1, T=0.0100 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0011/5000] n=1, T=0.0110 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0012/5000] n=1, T=0.0120 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0013/5000] n=1, T=0.0130 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0014/5000] n=1, T=0.0140 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0015/5000] n=1, T=0.0150 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0016/5000] n=1, T=0.0160 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0017/5000] n=1, T=0.0170 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0018/5000] n=1, T=0.0180 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0019/5000] n=1, T=0.0190 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0020/5000] n=1, T=0.0200 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0021/5000] n=1, T=0.0210 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0022/5000] n=1, T=0.0220 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0023/5000] n=1, T=0.0230 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0024/5000] n=1, T=0.0240 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0025/5000] n=1, T=0.0250 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0026/5000] n=1, T=0.0260 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0027/5000] n=1, T=0.0270 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0028/5000] n=1, T=0.0280 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0029/5000] n=1, T=0.0290 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0030/5000] n=1, T=0.0300 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0031/5000] n=1, T=0.0310 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
